game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
751,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
752,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
753,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,1
754,O,X,L,illegal_forfeit:O,2,1,1,0,1,0,1,1,0,1
755,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
756,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
757,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
758,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
759,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
760,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
761,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
762,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
763,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
764,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
765,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
766,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
767,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
768,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
769,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
770,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,1
771,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
772,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
773,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
774,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
775,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,1
776,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
777,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
778,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
779,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
780,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
781,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,2
782,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
783,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
784,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
785,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
786,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,3
787,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
788,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
789,X,X,W,illegal_forfeit:O,8,7,4,4,0,3,4,3,1,2
790,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
791,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
792,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
793,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
794,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
795,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,2
796,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
797,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
798,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
799,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
800,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
801,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
802,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
803,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
804,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
805,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
806,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
807,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
808,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
809,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
810,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
811,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
